Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0805_2012Metric,109.5,-89.5,0.0,top
C2,4.5nF,C_0805_2012Metric,103.5,-67.25,-90.0,top
C3,10u,C_0805_2012Metric,172.575,-67.0,0.0,top
C4,10u,C_0805_2012Metric,172.575,-70.01,0.0,top
C5,100n,C_0805_2012Metric,172.575,-73.02,0.0,top
C6,100n,C_0805_2012Metric,172.575,-76.03,0.0,top
C7,33p,C_0805_2012Metric,167.425,-69.25,0.0,top
C8,22u,C_0805_2012Metric,167.425,-72.26,0.0,top
C9,100n,C_0805_2012Metric,167.425,-75.27,0.0,top
D1,~,D_0805_2012Metric,112.0625,-72.5,0.0,top
D2,D_Zener,D_0805_2012Metric,117.25,-72.75,180.0,top
D3,~,D_0805_2012Metric,112.0,-70.25,180.0,top
D4,~,D_0805_2012Metric,117.1875,-70.25,0.0,top
D5,~,D_0805_2012Metric,120.5,-71.46,90.0,top
IC1,TXU0101DBVR,TXU0101DBVR,131.65,-62.375,180.0,top
IC2,TXU0101DBVR,TXU0101DBVR,143.5,-62.375,180.0,top
IC3,TXU0101DBVR,TXU0101DBVR,154.775,-62.375,180.0,top
IC4,TXU0101DBVR,TXU0101DBVR,159.275,-62.375,180.0,top
IC5,TXU0101DBVR,TXU0101DBVR,126.775,-62.375,180.0,top
IC6,TXU0101DBVR,TXU0101DBVR,138.775,-62.375,180.0,top
IC7,TXU0101DBVR,TXU0101DBVR,140.0,-72.75,0.0,top
IC8,TXU0101DBVR,TXU0101DBVR,135.5,-72.75,0.0,top
IC9,L293DD,SOIC127P1032X265-20N,141.445,-82.962,-90.0,top
IC10,TPS562242DRLR,MSOP-10_3x3mm_P0.5mm,161.325,-74.25,0.0,top
J2,Pump,470531000,130.098,-55.16,0.0,top
J3,Fan,470531000,143.098,-55.255,0.0,top
J4,Valve,470531000,156.098,-55.255,0.0,top
J6,MOLEX POWER CONNECTOR,455580003,168.5,-85.5,-90.0,top
J7,USB_A,USB_A_Molex_67643_Horizontal,114.57,-59.15,180.0,top
L1,3u3,L_0805_2012Metric,162.8125,-70.75,0.0,top
R1,330,R_0805_2012Metric,105.75,-92.3375,90.0,top
R2,10k,R_0805_2012Metric,108.25,-84.0,90.0,top
R3,1M,R_0805_2012Metric,105.75,-67.25,-90.0,top
R4,100k,R_0805_2012Metric,177.005,-66.97,0.0,top
R5,11k3,R_0805_2012Metric,177.005,-69.92,0.0,top
R6,158k,R_0805_2012Metric,177.005,-72.87,0.0,top
R7,30k,R_0805_2012Metric,177.005,-75.82,0.0,top
SW1,SW_DIP_x01,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,111.5,-95.25,0.0,top
U2,ATSAMD21G18A-A,TQFP-48_7x7mm_P0.5mm,115.25,-79.75,90.0,top
