Designator,Mid X,Mid Y,Rotation,Layer
C1,58.6,7.725,0.0,top
C10,43.0,11.0,225.0,top
C11,55.0,12.0,225.0,top
C12,51.449999,9.525,180.0,top
C13,47.449999,9.475,0.0,top
C2,10.0,5.0,270.0,top
C3,27.5,31.85,0.0,top
C4,53.0,14.0,225.0,top
C5,31.5,31.9,180.0,top
C6,51.95,26.0,135.0,top
C7,42.0,14.0,135.0,top
C8,39.95,12.0,135.0,top
D1,22.2,22.0,270.0,top
D10,68.0,17.0,270.0,top
D11,56.950252,37.995963,180.0,top
D12,52.0,38.0,0.0,top
D2,22.2,17.989748,90.0,top
D3,25.2,22.023587,90.0,top
D4,25.2,17.97134,270.0,top
D5,22.2,13.977901,270.0,top
D6,66.922469,44.666537,180.0,top
D7,62.887501,44.6625,180.0,top
D8,70.412499,44.683269,180.0,top
D9,67.973106,30.977145,270.0,top
IC11,29.54,37.850001,90.0,top
R1,57.6,4.725,90.0,top
R11,51.9125,36.0,180.0,top
R12,57.0,36.0,0.0,top
R13,65.9125,17.0,90.0,top
R14,65.9125,31.0,90.0,top
R15,66.937249,42.666537,0.0,top
R2,55.6,4.725,270.0,top
R3,13.0,5.0,270.0,top
R4,37.8,5.2,90.0,top
R5,62.937249,42.666537,0.0,top
R6,74.6,41.9125,270.0,top
R7,70.125,46.679232,0.0,top
R8,71.024749,42.6625,180.0,top
S1,63.8,3.925,0.0,top
U2,48.0,20.0,45.0,top
Y1,49.449999,6.475,180.0,top
