"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4,C6,C7","100n","~","Capacitor_SMD:C_0805_2012Metric","4",""
"C2","4.5nF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","4.7n","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C5","47u","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C8","1u","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C10,C11","10u","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C12,C13","20p","~","Capacitor_SMD:C_0805_2012Metric","2",""
"D1,D3,D4,D5","~","~","Diode_SMD:D_0805_2012Metric","4",""
"D2","D_Zener","~","Diode_SMD:D_0805_2012Metric","1",""
"D6","5V_USB_PWR_IND","~","LED_SMD:LED_0603_1608Metric","1",""
"D7","3v3_PWR_IND","~","LED_SMD:LED_0603_1608Metric","1",""
"D8","12v_PWR_IND","~","LED_SMD:LED_0603_1608Metric","1",""
"D9","PUMP_PWM_IND","~","LED_SMD:LED_0603_1608Metric","1",""
"D10","FAN_PWM_IND","~","LED_SMD:LED_0603_1608Metric","1",""
"D11","VALVE_OPEN_IND","~","LED_SMD:LED_0603_1608Metric","1",""
"D12","VALVE_CLOSED_IND","~","LED_SMD:LED_0603_1608Metric","1",""
"H1,H2,H3,H4","MountingHole_Pad","~","MountingHole:MountingHole_2.2mm_M2_Pad","4",""
"IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8","TXU0101DBVR","https://www.ti.com/lit/ds/symlink/txu0101.pdf?ts=1669130963626&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTXU0101","custom_footprints:TXU0101DBVR","8",""
"IC9","L293DD","https://www.st.com/resource/en/datasheet/l293d.pdf","custom_footprints:SOIC127P1032X265-20N","1",""
"IC11","LM3940IMP-3.3_NOPB","http://www.ti.com/lit/ds/symlink/lm3940.pdf","custom_footprints:SOT230P700X180-4N","1",""
"J1","67643-2910","https://www.molex.com/pdm_docs/sd/676430910_sd.pdf","custom_footprints:676432910","1",""
"J2","Pump","http://www.molex.com/pdm_docs/sd/470531000_sd.pdf","custom_footprints:470531000","1",""
"J3","Fan","http://www.molex.com/pdm_docs/sd/470531000_sd.pdf","custom_footprints:470531000","1",""
"J4","Valve","http://www.molex.com/pdm_docs/sd/470531000_sd.pdf","custom_footprints:470531000","1",""
"J5","Conn_02x05_Counter_Clockwise","~","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1",""
"J6","MOLEX POWER CONNECTOR","https://www.molex.com/pdm_docs/sd/455580003_sd.pdf","custom_footprints:455580003","1",""
"JP1,JP2","SolderJumper_2_Open","~","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","2",""
"R1","330","~","Resistor_SMD:R_0805_2012Metric","1",""
"R2","10k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R3","1M","~","Resistor_SMD:R_0805_2012Metric","1",""
"R4","1k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R5","51R","~","Resistor_SMD:R_0805_2012Metric","1",""
"R6,R7","470R","~","Resistor_SMD:R_0805_2012Metric","2",""
"R8","300R","~","Resistor_SMD:R_1206_3216Metric","1",""
"R11,R12,R13,R14,R15","20R","~","Resistor_SMD:R_0805_2012Metric","5",""
"S1","TS-1187A-B-A-B","","custom_footprints:SW_TS-1187A-B-A-B","1",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12","TestPoint","~","TestPoint:TestPoint_Pad_D1.0mm","12",""
"U2","ATSAMD21G18A-A","http://ww1.microchip.com/downloads/en/DeviceDoc/SAM_D21_DA1_Family_Data%20Sheet_DS40001882E.pdf","Package_QFP:TQFP-48_7x7mm_P0.5mm","1",""
"Y1","32.768kHz","https://support.epson.biz/td/api/doc_check.php?dl=brief_FC-135&lang=en","custom_footprints:FC135327680KAA5","1",""
